lab_testcode,Local Name,Counts
MprotScreen-BL,M-proteÔne screening,1499
MprotTyp-BL,M-proteÔne kwal (IF),291
MprotTyp-UP,M-proteÔne typering,198
MprotTyp-UV,M-proteÔne typering,219
MPV-BL,MPV,328
MuSK-BL,anti-MuSK,16
Mycophenolzuur-BL,Mycofenolaat,34
MycophenolzuurDS-BL,Mycofenolzuur (DS),13
MyelocytAbs-BL,Myelocyten,1557
Myoglobine-BL,Myoglobine,12
NaiefB-BL,NaÔeve B-cellen,26
NaiefCD4-BL,NaÔeve T-cellen (CD4),35
NaiefCD8-BL,NaÔeve T-cellen (CD8),35
Natrium-BL,Natrium,108103
Natrium-UP,Natrium,4216
Natrium-UV,Natrium,3152
NatriumVol-UV,Natrium /24u,2836
NeuroBlot_Neg-BL,Neuronale blot Neg,32
NeuroBlot_Pos-BL,Neuronale blot Pos,32
NeutrofielAbs-BL,Neutrofiele granulocyten,22114
Nitriet-UP,Nitriet,10272
nonHDLchol-BL,non-HDL cholesterol,33221
Noradrenaline-BL,Noradrenaline,57
Normetanefrine-UV,Normetanefrine,650
NormetanefrVol-UV,Normetanefrine /24u,579
Nortriptyline-BL,Nortriptyline,60
NortriptylineDS-BL,Nortriptyline (DS),31
NT-proBNP_pg-BL,NT-proBNP,2047
O2gebruik-BL,O2 gebruik,389
O2gehalteArt-BL,O2-gehalte (Art.),975
O2gehalteVen-BL,O2-gehalte (Ven.),48
OASINR-BL,PT-INR,29162
Oestradiol-BL,Oestradiol,433
OHcarbazepine-BL,Hydroxycarbazepine,10
OHmidazolamgluc-BL,Ohmidazolamglucuronide,14
Olmesartan_AH-BL,Olmesartan,24
OM-ApotheekOverige-BL,Apotheek Overige,41
OM-dsApotheekOverige-BL,Apotheek Overige (DS),41
OnrijpPerifeerB-BL,Onrijp perifere B-cellen,26
Opiaten-UP,Opiaten,56
Opm_CytoMorf-BL,Opmerking,228
Osmolaliteit-BL,Osmolaliteit,1456
Osmolaliteit-UP,Osmolaliteit,1345
Osmolaliteit-UV,Osmolaliteit,989
OverigeBepalingenAPO-BL,Overige bepalingen,5
OverigeBepalingenEXT-BL,Overige bepalingen,150
Oxaalzuur-UP,Oxaalzuur,10
Oxaalzuur-UV,Oxaalzuur,126
OxaalzuurVol-UV,Oxaalzuur /24u,112
P2Y12_Baseline-BL,VerifyNow P2Y12 Baseline,334
P2Y12_Post-BL,VerifyNow P2Y12 Post,334
P2Y12_Remming-BL,VerifyNow P2Y12 Remming,337
pANCA-BL,p-ANCA (imm. fluoresc.),350
PancrPolypeptide-BL,Pancreas polypeptide,19
PapegaaiTypeIII-BL,Papegaai,43
Paracetamol-BL,Paracetamol,14
Paracetamol-UP,Paracetamol,46
ParacetamolDS-BL,Paracetamol (DS),9
ParietaleCel-BL,anti-PariÎtale cellen,181
ParkietTypeIII-BL,Parkiet,44
PBG-UP,PBG,14
PhosphoLipaseA2r-BL,anti-PLA2rec (1:10),62
PlasmacelAbs-BL,Plasmacellen,1219
PlasmaHb-BL,Plasma Hb,19
PLT_Re-BL,%rP,271
Pneumococ1-BL,anti-Pneumococcen type 1,16
Pneumococ14-BL,anti-Pneumococcen type 14,68
Pneumococ15B-BL,anti Pneumococcen type 15B,52
Pneumococ18C-BL,anti-Pneumococcen type 18C,16
Pneumococ19F-BL,anti-Pneumococcen type 19F,68
Pneumococ20-BL,anti Pneumococcen type 20,52
Pneumococ23F-BL,anti-Pneumococcen type 23F,68
Pneumococ3-BL,anti-Pneumococcen type 3,16
Pneumococ33F-BL,anti Pneumococcen type 33F,52
Pneumococ4-BL,anti-Pneumococcen type 4,16
Pneumococ5-BL,anti-Pneumococcen type 5,16
Pneumococ6B-BL,anti-Pneumococcen type 6B,68
Pneumococ7F-BL,anti-Pneumococcen type 7F,16
Pneumococ8-BL,anti Pneumococcen type 8,52
Pneumococ9V-BL,anti-Pneumococcen type 9V,68
Poikilocyt-BL,Poikilocytose,289
Polychr-BL,Polychromasie,199
PorfScreen-UP,Porfyrine screening,13
Pro-Insuline-BL,Pro-Insuline,115
Procalcitonine-BL,Procalcitonine kwant.,299
Progesteron-BL,Progesteron,172
Prolactine-BL,Prolactine,465
PromyelocytAbs-BL,Promyelocyten,1557
ProteineCact-BL,ProteÔne C activiteit,88
ProteineSact-BL,ProteÔne S activiteit,86
Protromb-BL,Protrombinetijd,12519
ProtrombCont-BL,Protrombinetijd controle,10044
PRP-BL,PRP,51
PSAratio-BL,PSA F/T-ratio,349
PSAtot_plasma-BL,Totaal PSA,80
PSAtot-BL,Totaal PSA,5312
PSAvrij-BL,Vrij PSA,367
PTH-BL,PTH,4881
RBC_HPO-BL,Hypochrome RBC's,279
RBC_HPR-BL,Hyperchrome RBC's,279
RBC_MAC-BL,Macrocytaire RBC's,291
RBC_MIC-BL,Microcytaire RBC's,292
RDW-BL,RDW,384
RenineAct-BL,Renine activiteit,2350
RenineAg-BL,Renine antigeen,96
RETI_CHCr-BL,MCHC  (reticulocyten(CHCr)),226
RETI_MCH-BL,MCH  (reticulocyten),227
RETI_MCV-BL,MCV (reticulocyten),227
ReticulocytAbs-BL,Reticulocyten,3073
ReumaFac-BL,"Reumafactor (EliA, IgM)",337
Rh_c_klein-BL,Rh. syst.: kleine c,450
Rh_C-BL,Rh. syst.: grote C,450
Rh_Cw-BL,Rh. syst.: C(w),11
Rh_e_klein-BL,Rh. syst.: kleine e,450
Rh_E-BL,Rh. syst.: grote E,450
RhesusDfact-BL,Rhesus D Factor,17090
Ribavirine-BL,Ribavirine,46
RibavirineDS-BL,Ribavirine (DS),37
Risto0.6E-BL,Ristocetine 0.6E,13
Risto0.8E-BL,Ristocetine 0.8E,21
Risto1.0E-BL,Ristocetine 1.0E,15
Rivaroxaban_aXa-BL,Rivaroxaban (Xarelto),20
RondEpi-UP,Rondepitheel,2819
S100B-BL,S-100B,201
SchildklierTPO-BL,Schildklier (anti-TPO),319
Schimmel-UP,Schimmel,137
Sediment-UP,Sediment,6472
SediOpm-UP,Opmerking,914
SegmentkAbs-BL,Segmentk. granulocyten,1562
Serotonine_ng-BL,Serotonine trombocyten,19
Serotonine-BL,Serotonine trombocyten,19
SezarycelAbs-BL,Sezarycellen,1207
SG-UP,Soortelijk gewicht,151
SG-UV,Soortelijk gewicht,25
SHBG-BL,SHBG,782
Sirolimus-BL,Sirolimus,648
SirolimusDS-BL,Sirolimus (DS),485
Sol_IL2Rec-BL,Sol. IL-2 receptor,450
SolTransRec-BL,Sol. transferr. receptor,96
Sotalol-BL,Sotalol,18
SotalolDS-BL,Sotalol (DS),17
SpijtCitraatPl1_CC-BL,Citraat plasma,83
SpijtCitraatPl1_SH-BL,Citraat plasma,50
SpijtDNA_SH-BL,DNA materiaal,19
SpijtEDTApl1_CC-BL,EDTA plasma,54
SpijtLiHepPl1_CC-BL,Li-heparine plasma,47
SpijtLiHepPl1_LPL-BL,Li-heparine plasma voor LPL,25
SpijtSerum1_CC-BL,Serum,96
Spijtserum1_IS-BL,Serum,46
SpijtSerum1_SK-BL,Serum,19
SpijtUrine_CU-UP,Spijt urine portie,42
Spironolacton-UP,Spironolacton,11
sST2-BL,sST2,226
StaafkAbs-BL,Staafkernige granulocyt.,1562
StBicarbArt-BL,Standaard Bicarbonaat (Art.),16700
StBicarbJugul-BL,Standaard Bicarbonaat (Jugul.),51
StBicarbMix-BL,Standaard Bicarbonaat (Mix.),1178
StBicarbVen-BL,Standaard Bicarbonaat (Ven.),5475
Steroidprofiel-UV,SteroÔdprofiel,17
Sulfamethoxazol-BL,Sulfmethoxazol,27
SulfamethoxazolDS-BL,Sulfamethoxazol (DS),23
T3-BL,T3,139
T3vrij-BL,Vrij T3,400
T4-BL,Totaal T4,281
T4vrij-BL,Vrij T4,12328
Tacrolimus-BL,Tacrolimus,6214
TacrolimusDS-BL,Tacrolimus (DS),3642
TARC-BL,TARC,91
Targetcel-BL,Target cellen,126
TCelgdabs-BL,Tcel gamma delta,78
TCelgdRel-BL,Tcel gamma delta,78
TearDrop-BL,Teardrop cellen,119
TEG-alpha-BL,TEG alpha,380
TEG-K-BL,TEG K,378
TEG-LY30-BL,TEG LY30,378
TEG-MA-BL,TEG MA,380
TEG-R-BL,TEG R,384
TEG-sample-type-BL,TEG monster type,383
Testosteron-BL,Testosteron,1451
TestosteronVrij-BL,Vrij Testosteron,695
Thyreoglobuline-BL,Thyreoglobuline,62
ThyreoglobulineAL-BL,Thyreoglobuline a.l.,62
ThyrStimIg-BL,ThyroÔd stim. Ig (TSI),278
Timotheegras-BL,Timotheegras,85
Titer_IgG_antiA-BL,Titer IgG anti A,27
Titer_IgG_antiB-BL,Titer IgG anti B,27
ToxKor-BL,Toxische korreling,134
ToxScreening-BL,Toxicologische screening,10
Transferrine-BL,Transferrine,5209
Transferrineverz-BL,Transferrineverzadiging,4722
Triamtereen-UP,Triamtereen,11
TricyclAntidepres-UP,Tricyclische Antidepres.,52
Trig-0.03h-BL,Triglyceriden (+0:03 h),25
Trig-0.06h-BL,Triglyceriden (+0:06 h),25
Trig-0.09h-BL,Triglyceriden (+0:09 h),25
Trig-0.15h-BL,Triglyceriden (+0:15 h),25
Trig-BL,Triglyceriden,43534
Trig-min0.01h-BL,Triglyceriden (-0:01 h),25
Trombinetijd-BL,Trombinetijd,4116
TrombinetijdCont-BL,Trombinetijd controle,3477
TromboCitr-BL,Trombocyten (citraat),203
Trombocyt-BL,Trombocyten,95879
TrombocytRemming-BL,VerifyNow Trombo.remming,659
TromboHep-BL,Trombocyten (heparine),188
TromboMorfologie-BL,Trombocyten morfologie,869
Troponine_ng-BL,Troponine-I,19158
Troponine-BL,Troponine,5210
Tryptase-BL,Tryptase,80
TSH-BL,TSH,23237
TTG_IgA-BL,anti-TTG (IgA),498
Ureum-BL,Ureum,80327
Ureum-UP,Ureum,1864
Ureum-UV,Ureum,1212
UreumVol-UV,Ureum /24u,1137
Urinezuur-BL,Urinezuur,7057
Urinezuur-UP,Urinezuur,73
Urinezuur-UV,Urinezuur,307
UrinezuurVol-UV,Urinezuur /24u,287
Urobilinogeen-UP,Urobilinogeen,108
Valproinezuur-BL,ValproÔnezuur,27
ValproinezuurDS-BL,ValproÔnezuur (DS),22
Vancomycine-BL,Vancomycine,594
VancomycineDS-BL,Vancomycine (DS),387
VEGFD-BL,VEGF-D,26
Venlafaxine-BL,Venlafaxine,22
Verzamelperiode-UV,Verzamelperiode,4601
Vg9-d2--BL,Vg9- d2-,78
Vg9-d2+-BL,Vg9- d2+,78
Vg9+d2--BL,Vg9+ d2-,78
Vg9+d2+-BL,Vg9+ d2+,78
VitamineA-BL,Vitamine A,94
VitamineB1-BL,Vitamine B1,441
VitamineB12-BL,Vitamine B12,5706
VitamineB6-BL,Vitamine B6,401
VitamineC-BL,Vitamine C,17
VitamineE-BL,Vitamine E,104
VMA-UV,VMA,118
VMAVol-UV,VMA /24u,113
VoedselScreen-BL,Voedsel screening,14
Volume-UV,Volume,4603
Voriconazol-BL,Voriconazol,88
VoriconazolDS-BL,Voriconazol (DS),57
Vrij3MethTyramine-BL,Vrij 3-Methoxytyramine,274
VrijAdrenaline-UV,Vrij Adrenaline,142
VrijAdrenalineVol-UV,Vrij Adrenaline /24u,134
VrijDopamine-UV,Vrij Dopamine,142
VrijDopamineVol-UV,Vrij Dopamine /24u,134
VrijeKappa-BL,Vrije kappa,968
VrijeLambda-BL,Vrije lambda,918
VrijeVetzuren-BL,Vrije vetzuren,12
VrijK_VrijLratio-BL,Vrije kappa/lambda ratio,924
VrijMetanefrine-BL,Vrij Metanefrine,274
VrijNoradrenaline-UV,Vrij Noradrenaline,142
VrijNoradrenalineVol-UV,Vrij Noradrenaline /24u,134
VrijNormetanefr-BL,Vrij Normetanefrine,274
vWFantigeen-BL,vWF antigeen,234
vWFcollageen-BL,vWF collageen binding,14
vWFmultimeren-BL,vWF multimeren,23
vWFprotease-BL,ADAMTS13,24
vWFristocetine-BL,vWF ristocetine,165
Wr_Wra-BL,Wright syst.: Wr(a),12
XTC-UP,Methamfetamines (XTC),55
Zink-BL,Zink,37
ZinkDS-BL,Zink (DS),37
Zinkprotoporfyrine-BL,Zink protoporfyrine,222
Zuurgraad-UP,Zuurgraad,21500
ZuurgraadArt-BL,Zuurgraad (Art.),22045
ZuurgraadJugul-BL,Zuurgraad (Jugul.),51
ZuurgraadMix-BL,Zuurgraad (Mix.),1202
ZuurgraadVen-BL,Zuurgraad (Ven.),6180
ZuurstofSatArt-BL,Zuurstof Saturatie (Art.),21844
ZuurstofSatJugul-BL,Zuurstof Saturatie (Jugul.),51
ZuurstofSatMix-BL,Zuurstof Saturatie (Mix.),1193
ZuurstofSatVen-BL,Zuurstof Saturatie (Ven.),6021
ZuurstofspArt-BL,Zuurstofspanning (Art.),22047
ZuurstofspJugul-BL,Zuurstofspanning (Jugul.),51
ZuurstofspMix-BL,Zuurstofspanning (Mix.),1203
ZuurstofspVen-BL,Zuurstofspanning (Ven.),6180
Zwanger-UP,Zwangerschapstest,52
