lab_testcode,Local Name,Counts
BlastAbs-BL,Blasten,1556
BloedingstijdSurg-BL,Bloedingstijd Surgicutt,41
BNP-BL,BNP,4014
BSE-BL,Bezinking (BSE),17978
BTP-BL,BTP serum,32
Bumetanide-UP,Bumetanide,10
Busulfan-BL,Busulfan,36
C3-BL,C3,429
C4-BL,C4,433
CA125-BL,CA 125,204
CA153_DXI-BL,CA 15.3 (OUD),18
CA153-BL,CA 15.3,547
CA199-BL,CA 19.9,156
Calcitonine-BL,Calcitonine,33
Calcium-BL,Calcium,20373
Calcium-UP,Calcium,162
Calcium-UV,Calcium,452
CalciumGeion-BL,Calcium geÔoniseerd,17665
CalciumVol-UV,Calcium /24u,406
cANCA-BL,c-ANCA (imm. fluoresc.),350
Cannabis-UP,Cannabis (THC),55
Canrenon-UP,Canrenon,10
Carbamazepine-BL,Carbamazepine,39
CarbamazepineDS-BL,Carbamazepine (DS),30
CD19abs-BL,B-cellen absoluut,192
CD19Rel-BL,B-cellen relatief,192
CD3-CD1656+abs-BL,NK-cellen absoluut,192
CD3-CD1656+Rel-BL,NK-cellen relatief,192
CD3abs-BL,T-cellen absoluut,192
CD3Rel-BL,T-cellen relatief,173
CD4abs-BL,CD4 absoluut,6923
CD4CD8Ratio-BL,CD4/CD8-ratio,169
CD4Rel-BL,CD4 relatief,2022
CD8abs-BL,CD8 absoluut,174
CD8Rel-BL,CD8 relatief,169
CDT-BL,CDT,14
CEA_DXI-BL,CEA (OUD),31
CEA-BL,CEA,1006
Ceruloplasmine-BL,Ceruloplasmine,83
Chloortalidon-UP,Chloortalidon,11
Chloorthiazide-UP,Chloorthiazide,11
Chloride-BL,Chloride,6770
Chloride-UP,Chloride,276
Chloride-UV,Chloride,110
ChlorideVol-UV,Chloride /24u,106
Chol-BL,Cholesterol,44236
CholRatio-BL,Cholesterol-ratio,42
ChromogrA-BL,Chromogranine A,34
CIAP-BL,CIAP,14
Ciclosporine-BL,Ciclosporine,676
CiclosporineDS-BL,Ciclosporine (DS),506
Citraat-UV,Citraat,115
CitraatVol-UV,Citraat /24u,101
Citrulline-BL,Citrulline (anti-CCP),260
CK-BL,CK,31169
CKBBfractie-BL,CK-BB fractie,13
CKMBfractie-BL,CK-MB fractie,13
CKMBmassa-BL,CK-MB massa,24523
CKMMfractie-BL,CK-MM fractie,13
CLASSpathProcent-BL,Classical pathway,36
CLASSpathway-BL,Classical Pathway,34
Clomipramine-BL,Clomipramine,24
ClomipramineDS-BL,Clomipramine (DS),15
Cocaine-UP,CocaÔne,55
Coll_Aggr1.0-BL,Coll. Aggregatie 1.0,24
Coll_Aggr4.0-BL,Coll. Aggregatie 4.0,11
Conclusie_Isac-BL,Conclusie Isac,15
ConclusieGlycEnz-BL,Conclusie glyc. enzymen,22
Cortisol-0.30h-BL,Cortisol (+0:30 h),88
Cortisol-0h-BL,Cortisol (+0:00 h),225
Cortisol-1h-BL,Cortisol (+1:00 h),88
Cortisol-BL,Cortisol,1102
Cortisol-min0.30h-BL,Cortisol (-0:30 h),90
CortisolVrij-UV,Vrij Cortisol /24u,596
Cotinine-BL,Cotinine,66
Cotinine-UP,Cotinine,78
Cpeptide-BL,C-peptide,423
Creat-BL,Creatinine,149294
Creat-UP,Creatinine,20507
Creat-UV,Creatinine,4307
CreatVol-UV,Creatinine /24u,3916
CRP-BL,CRP,61952
Cryoglob04-BL,Cryoglobuline   4 ∞C,108
Cryoglob20-BL,Cryoglobuline  20 ∞C,103
Cryoglob37-BL,Cryoglobuline  37 ∞C,103
CTF-CD16_56-pkg-BL,CD16_56/kg,34
CTF-CD19-pkg-BL,CD19/kg,18
CTF-CD3-pkg-BL,CD3/kg,35
CTF-CD3-Totaal-BL,CD3 totaal,35
CTF-CD34-pkg-BL,CD34/kg,52
CTF-CD34-Totaal-BL,CD34 totaal,52
CTF-DonorABO-BL,DonorABO,34
CTF-Procedure-BL,Procedure,69
CTF-Product-BL,Product,70
CTF-ProductStaat-BL,Productstaat,70
CTF-RBC-corr-BL,RBC gecorrigeerd,15
CTF-WBC-pkg-BL,WBC/kg,70
CTF-WBC-totaal-BL,WBC Totaal,70
CYP2C19_Concl-BL,CYP2C19 concl,130
CYP2C19-genotype-BL,CYP2C19 geno,44
CystatineC-BL,Cystatine C,130
D-dimeer-BL,D-dimeer,1165
dALA-UP,d-ALA,14
Darunavir-BL,Darunavir,56
DarunavirDS-BL,Darunavir (DS),37
DCTcompl-BL,Dir. Coombs anti compl.,76
DCTIgG-BL,Dir. Coombs anti IgG,76
Desethylamiodaron-BL,D-eth.amiodarone,424
Desipramine-BL,Desipramine,11
DesmClomipramine-BL,Desmethylclomipramine,24
DesmVenlafaxine-BL,Desmethylvenlafaxine,22
DHEA-BL,DHEA,19
DHEAsulfaat-BL,DHEA-Sulfaat,48
DiffOpmerkingen-BL,Diff opmerkingen,199
Digoxine-BL,Digoxine,101
DigoxineDS-BL,Digoxine (DS),74
Diltiazem-BL,Diltiazem,13
DirCoombs-BL,Directe Coombs,280
Diversen-BL,Diversen,40
DOC-BL,DOC,20
Dopamine-BL,Dopamine,57
DPYD-genotype-BL,DPYD geno,40
dsDNA-BL,anti-ds-DNA (EliA),651
Duffy_Fya-BL,Duffy syst.: Fy(a),19
DuifTypeIII-BL,Duif,43
DwGestrSpierw-BL,anti-Dw.gestr.spierweef.,15
DysmorfeEry-UP,Dysmorfe erytrocyten,1659
Echinocyt-BL,Echinocyten,100
EffectorMemCD4-BL,Eff/Mem T-cellen (CD4),35
EffectorMemCD8-BL,Eff/Mem T-cellen (CD8),35
EilLangerhans-BL,anti-Eil.v.Langerhans,13
Eiwit_kreat_ratio-UP,Eiwit / creat ratio,6583
EiwitScreen_UD-UP,Eiwit screening,74
EiwitScreen-UP,Eiwit screening,24138
EiwitTot-BL,Totaal Eiwit,5194
EiwitTot-UP,Totaal Eiwit,7428
EiwitTot-UV,Totaal Eiwit,3533
EiwitTotVol-UV,Totaal eiwit /24u,3219
Elliptocyt-BL,Elliptocyten,511
Eluaat-BL,Eluaat,67
ENAscreen-BL,ENA-screening,14
Endomysium_IgA-BL,anti-Endomysium (IgA),411
EosinofielAbs-BL,Eosinofiele granulocyten,21466
EpitheelCyl-UP,Epitheelcylinders,38
EPO-BL,ErytropoÎtine,135
EryCyl-UP,Erytrocytencylinders,1294
EryMorfologie-BL,Erytrocyten morfologie,256
ErytroblastAbs-BL,Erytroblasten,1258
Erytrocyt-BL,Erytrocyten,55407
EryVrijHb_UD-UP,Erytrocyten / vrij Hb,71
EryVrijHb-UP,Erytrocyten / vrij Hb,21433
Ethanol-BL,Ethanol,262
Everolimus-BL,Everolimus,213
EverolimusDS-BL,Everolimus (DS),127
FactorIAg-BL,Factor I antigeen,23
FactorII-BL,Factor II activititeit,17
FactorIIMutatie-BL,Protrombine mutatie,86
FactorIX-BL,Factor IX activiteit,326
FactorV-BL,Factor V activiteit,104
FactorVII-BL,Factor VII activiteit,17
FactorVIII-BL,Factor VIII activiteit,610
FactorVLeiden-BL,Factor V Leiden,88
FactorX-BL,Factor X activiteit,46
FactorXI-BL,Factor XI activiteit,58
FactorXII-BL,Factor XII activiteit,55
FactorXIII-BL,Factor XIII activiteit,11
Fencyclidine-UP,Fencyclidine,46
FenytoineTot-BL,FenytoÔne totaal,18
FenytoineVrij-BL,FenytoÔne vrij,18
Ferritine-BL,Ferritine,9757
