Position,Var Name,Variable Label,VaR lab English,Value,Value Label,VaL lab English,Missing Values
165,mgl03,GLP-1-agonist, ,    1,Ja, ,9
165,mgl03,GLP-1-agonist, ,    9,Missend, ,9
166,TCA,Niet/wel tricyclic antidepressants (vanaf juli 2001), ,    0,Nee, ,"8, 9"
166,TCA,Niet/wel tricyclic antidepressants (vanaf juli 2001), ,    1,Ja, ,"8, 9"
166,TCA,Niet/wel tricyclic antidepressants (vanaf juli 2001), ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
166,TCA,Niet/wel tricyclic antidepressants (vanaf juli 2001), ,    9,Missend, ,"8, 9"
167,SSRI,Niet/wel serotonin reuptake inhibitors (vanaf juli 2001), ,    0,Nee, ,"8, 9"
167,SSRI,Niet/wel serotonin reuptake inhibitors (vanaf juli 2001), ,    1,Ja, ,"8, 9"
167,SSRI,Niet/wel serotonin reuptake inhibitors (vanaf juli 2001), ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
167,SSRI,Niet/wel serotonin reuptake inhibitors (vanaf juli 2001), ,    9,Missend, ,"8, 9"
168,MAO,Niet/wel monoamine oxidase inhibitors (not-selective) (vanaf juli 2001), ,    0,Nee, ,"8, 9"
168,MAO,Niet/wel monoamine oxidase inhibitors (not-selective) (vanaf juli 2001), ,    1,Ja, ,"8, 9"
168,MAO,Niet/wel monoamine oxidase inhibitors (not-selective) (vanaf juli 2001), ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
168,MAO,Niet/wel monoamine oxidase inhibitors (not-selective) (vanaf juli 2001), ,    9,Missend, ,"8, 9"
169,OthADep,Niet/wel other anti-depressants, ,    0,Nee, ,9
169,OthADep,Niet/wel other anti-depressants, ,    1,Ja, ,9
169,OthADep,Niet/wel other anti-depressants, ,    9,Missend, ,9
170,Benzo,Niet/wel benzodiazepines (vanaf juli 2001), ,    0,Nee, ,"8, 9"
