Position,Var Name,Variable Label,VaR lab English,Value,Value Label,VaL lab English,Missing Values
97,mpkr_rat,Microproteine/kreatinine-ratio (mg./mmol), ,   -8,ratio niet exact berekend (alb<8), ,"Lowest through .00, and 9999.00"
97,mpkr_rat,Microproteine/kreatinine-ratio (mg./mmol), ,   -7,ratio niet exact berekend (alb<7), ,"Lowest through .00, and 9999.00"
97,mpkr_rat,Microproteine/kreatinine-ratio (mg./mmol), ,   -6,ratio niet exact berekend (alb<6), ,"Lowest through .00, and 9999.00"
97,mpkr_rat,Microproteine/kreatinine-ratio (mg./mmol), ,   -5,ratio niet exact berekend (alb<5), ,"Lowest through .00, and 9999.00"
97,mpkr_rat,Microproteine/kreatinine-ratio (mg./mmol), ,   -3,ratio niet exact berekend (alb<3), ,"Lowest through .00, and 9999.00"
97,mpkr_rat,Microproteine/kreatinine-ratio (mg./mmol), ,   -2,ratio niet exact berekend (alb<2), ,"Lowest through .00, and 9999.00"
97,mpkr_rat,Microproteine/kreatinine-ratio (mg./mmol), ,   -1,ratio niet exact berekend (alb<0.5), ,"Lowest through .00, and 9999.00"
98,AlbCr,Albumine / Creatinine ratio als tekst, ,    ., , , 
99,albminur,Albuminurie (KDIGO richtlijn: ACR <3 / <30 / >=30), ,    0,Geen, ,9
99,albminur,Albuminurie (KDIGO richtlijn: ACR <3 / <30 / >=30), ,    1,Micro, ,9
99,albminur,Albuminurie (KDIGO richtlijn: ACR <3 / <30 / >=30), ,    2,Macro, ,9
99,albminur,Albuminurie (KDIGO richtlijn: ACR <3 / <30 / >=30), ,    9,Missend, ,9
100,nrfaln_n,Niet/wel nierfalen, ,    0,Nee, ,9
100,nrfaln_n,Niet/wel nierfalen, ,    1,Ja, ,9
100,nrfaln_n,Niet/wel nierfalen, ,    9,Missend, ,9
101,klar_coc,Kreatinine (bloed) klaring (Cockroft), ,99999,Missend, ,99999.0
102,klar_gst,Beoordeling kreat. klaring (Cockroft), ,    1,"Ernstig gestoord (<50,0)", ,9
102,klar_gst,Beoordeling kreat. klaring (Cockroft), ,    2,"Matig gestoord (>=50,0; <80,0)", ,9
